               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.035549,              0.0167,                   0,             0.88901,             0.78969,             0.88645,             0.59349,            0.031186,            0.011673,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.035953,            0.017188,                   0,             0.88827,             0.81333,             0.89517,             0.60923,            0.030502,            0.011387,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.035678,            0.016695,                   0,             0.90566,             0.79803,             0.89535,             0.61699,            0.030131,            0.011221,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.035503,            0.017223,                   0,              0.8928,              0.7983,             0.89033,             0.60669,            0.030508,            0.011556,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.035464,            0.017104,                   0,             0.89816,             0.80845,             0.89309,             0.61871,            0.030089,            0.011313,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.035196,            0.016457,                   0,             0.89777,             0.81425,             0.90046,             0.61886,            0.030041,             0.01106,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.035421,            0.017152,                   0,             0.89672,             0.81832,             0.89873,              0.6241,            0.029797,            0.011142,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.034917,            0.016845,                   0,             0.90591,             0.80678,             0.89671,             0.61574,            0.030008,            0.011212,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.034274,            0.016966,                   0,             0.91696,             0.81081,             0.90193,             0.62936,            0.029632,            0.011054,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034722,            0.016545,                   0,             0.90073,             0.81983,             0.90421,             0.63087,            0.029422,            0.010752,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.034789,            0.016081,                   0,             0.90368,             0.80873,             0.89904,             0.62094,            0.029924,            0.011107,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.034559,              0.0156,                   0,              0.9045,             0.82247,             0.90564,             0.62468,             0.02947,            0.010879,                   0,            0.005842,            0.005842,            0.005842
